Player,Pos,Team,Opp,Start/Line,PP Unit,Goals,Win %,Salary,Ceiling,Avg,FC Proj,My Proj,Exp.,Used,Con.,Value
Connor McDavid,C,EDM,vs VAN,1,1,2.97,57.4%,9000,71.4,17.4,17.79,17.79,100,,67,1.98
Frederik Andersen,G,TOR,vs OTT,prob,,2.37,73.5%,8700,53.6,18.6,20.05,20.05,100,,63,2.3
Alex Ovechkin,W,WSH,@ STL,1,1,2.48,41%,8500,61.3,17.9,15.73,15.73,100,,66,1.85
Marc-Andre Fleury,G,VGK,vs SJ,prob,,2.81,62.3%,8500,53.6,18.5,16.92,16.92,100,,61,1.99
Jordan Binnington,G,STL,vs WSH,prob,,2.48,59%,8400,45.6,15.7,16.63,16.63,100,,58,1.98
Auston Matthews,C,TOR,vs OTT,2,1,4.13,73.5%,8300,57.6,15.7,25.16,25.16,100,,64,3.03
Braden Holtby,G,WSH,@ STL,prob,,3.02,41%,8200,46.4,19.0,16.92,16.92,100,,65,2.06
Vladimir Tarasenko,W,STL,vs WSH,1,1,3.02,59%,8100,55.7,14.8,13.23,13.23,100,,63,1.63
Martin Jones,G,SJ,@ VGK,prob,,3.69,37.7%,8100,54.4,15.6,12.52,12.52,100,,55,1.55
Leon Draisaitl,W,EDM,vs VAN,2,1,2.97,57.4%,8000,61.0,12.7,22.12,22.12,100,,57,2.77
Pheonix Copley,G,WSH,@ STL,unlikely,,3.02,41%,7900,48.0,8.7,0.00,0.00,100,,42,0
John Tavares,C,TOR,vs OTT,1,1,4.13,73.5%,7800,56.5,15.7,22.33,22.33,100,,65,2.86
Jacob Markstrom,G,VAN,@ EDM,prob,,2.97,42.6%,7800,44.0,15.3,17.19,17.19,100,,59,2.2
Malcolm Subban,G,VGK,vs SJ,unlikely,,2.81,62.3%,7700,36.0,10.3,0.00,0.00,100,,54,0
Logan Couture,C,SJ,@ VGK,1,1,2.81,37.7%,7600,53.0,13.5,16.03,16.03,100,,61,2.11
Mike Smith,G,EDM,vs VAN,prob,,2.53,57.4%,7600,55.2,14.4,16.35,16.35,100,,53,2.15
Mitchell Marner,W,TOR,vs OTT,1,1,4.13,73.5%,7600,56.5,13.0,19.84,19.84,100,,59,2.61
Evgeny Kuznetsov,C,WSH,@ STL,,,2.48,41%,7500,0.00,11.6,0.00,0.00,100,,56,0.00
Thatcher Demko,G,VAN,@ EDM,unlikely,,2.97,42.6%,7500,33.6,8.0,0.00,0.00,100,,45,0
Mikko Koskinen,G,EDM,vs VAN,unlikely,,2.53,57.4%,7500,52.0,13.7,0.00,0.00,100,,49,0
Mark Stone,W,VGK,vs SJ,2,1,3.69,62.3%,7400,59.7,12.6,17.90,17.90,100,,59,2.42
Aaron Dell,G,SJ,@ VGK,unlikely,,3.69,37.7%,7400,52.8,11.7,0.00,0.00,100,,54,0
Brent Burns,D,SJ,@ VGK,2,1,2.81,37.7%,7300,50.4,16.6,17.00,17.00,100,,70,2.33
Jake Allen,G,STL,vs WSH,unlikely,,2.48,59%,7300,56.0,14.7,0.00,0.00,100,,55,0
Michael Hutchinson,G,TOR,vs OTT,unlikely,,2.37,73.5%,7300,49.6,11.5,0.00,0.00,100,,45,0
Craig Anderson,G,OTT,@ TOR,prob,,4.13,26.5%,7200,49.6,17.3,11.63,11.63,100,,60,1.62
Jonathan Marchessault,W,VGK,vs SJ,1,2,3.69,62.3%,7200,50.1,12.5,18.17,18.17,100,,59,2.52
Erik Karlsson,D,SJ,@ VGK,1,,2.81,37.7%,7100,50.3,14.2,9.97,9.97,100,,64,1.4
Anders Nilsson,G,OTT,@ TOR,unlikely,,4.13,26.5%,7100,56.0,13.3,0.00,0.00,100,,48,0
Michal Neuvirth,G,TOR,vs OTT,unlikely,,2.37,73.5%,7000,55.2,13.0,0.00,0.00,100,,47,0
Garret Sparks,G,VGK,vs SJ,unlikely,,2.81,62.3%,7000,47.2,8.8,0.00,0.00,100,,46,0
Brock Boeser,W,VAN,@ EDM,1,1,2.53,42.6%,6900,55.2,11.5,11.55,11.55,100,,52,1.67
Max Pacioretty,W,VGK,vs SJ,2,1,3.69,62.3%,6800,68.8,13.0,16.18,16.18,100,,59,2.38
Tomas Hertl,C,SJ,@ VGK,2,1,2.81,37.7%,6700,57.8,10.6,15.27,15.27,100,,56,2.28
Elias Pettersson,C,VAN,@ EDM,1,1,2.53,42.6%,6700,54.9,13.2,10.56,10.56,100,,55,1.58
Evander Kane,W,SJ,@ VGK,,,2.81,37.7%,6600,0.00,12.5,0.00,0.00,100,,59,0.00
Nicklas Backstrom,C,WSH,@ STL,1,1,2.48,41%,6500,57.0,12.4,11.64,11.64,100,,59,1.79
John Carlson,D,WSH,@ STL,1,1,2.48,41%,6400,40.0,13.8,12.29,12.29,100,,68,1.92
Timo Meier,W,SJ,@ VGK,1,1,2.81,37.7%,6400,39.2,10.6,12.03,12.03,100,,59,1.88
Ryan O'Reilly,C,STL,vs WSH,2,2,3.02,59%,6300,44.5,12.2,12.44,12.44,100,,61,1.97
T.J. Oshie,W,WSH,@ STL,2,1,2.48,41%,6300,52.5,11.4,9.47,9.47,100,,53,1.5
William Karlsson,C,VGK,vs SJ,1,2,3.69,62.3%,6300,48.8,9.3,17.12,17.12,100,,50,2.72
Jaden Schwartz,W,STL,vs WSH,1,1,3.02,59%,6200,58.3,11.8,14.60,14.60,100,,58,2.35
Tyson Barrie,D,TOR,vs OTT,2,2,4.13,73.5%,6100,51.3,11.5,20.35,20.35,100,,60,3.34
Bo Horvat,C,VAN,@ EDM,2,2,2.53,42.6%,6100,48.9,10.1,11.18,11.18,100,,58,1.83
Alex Pietrangelo,D,STL,vs WSH,1,2,3.02,59%,5900,56.2,12.3,15.33,15.33,100,,67,2.6
Ryan Nugent-Hopkins,C,EDM,vs VAN,2,1,2.97,57.4%,5800,54.6,11.3,12.68,12.68,100,,61,2.19
Brady Tkachuk,W,OTT,@ TOR,1,1,2.37,26.5%,5800,50.6,11.4,12.50,12.50,100,,54,2.16
Brayden Schenn,C,STL,vs WSH,1,1,3.02,59%,5700,50.9,10.8,10.70,10.70,100,,57,1.88
Morgan Rielly,D,TOR,vs OTT,1,1,4.13,73.5%,5700,46.6,10.6,19.19,19.19,100,,63,3.37
William Nylander,W,TOR,vs OTT,2,2,4.13,73.5%,5600,42.9,10.4,14.54,14.54,100,,58,2.6
David Perron,W,STL,vs WSH,2,2,3.02,59%,5400,55.7,9.3,11.67,11.67,100,,54,2.16
Thomas Chabot,D,OTT,@ TOR,1,1,2.37,26.5%,5400,44.5,10.3,10.19,10.19,100,,56,1.89
Reilly Smith,W,VGK,vs SJ,1,2,3.69,62.3%,5300,45.3,10.2,18.36,18.36,100,,56,3.46
Justin Faulk,D,STL,vs WSH,1,2,3.02,59%,5200,46.6,11.2,12.85,12.85,100,,63,2.47
Paul Stastny,C,VGK,vs SJ,3,1,3.69,62.3%,5200,55.4,10.1,16.94,16.94,100,,55,3.26
J.T. Miller,W,VAN,@ EDM,2,1,2.53,42.6%,5100,53.0,8.9,8.33,8.33,100,,52,1.63
Alexander Edler,D,VAN,@ EDM,1,1,2.53,42.6%,5100,42.3,11.3,13.82,13.82,100,,64,2.71
Kevin Labanc,W,SJ,@ VGK,3,2,2.81,37.7%,5100,47.6,7.9,8.91,8.91,100,,47,1.75
Shea Theodore,D,VGK,vs SJ,2,1,3.69,62.3%,5100,44.4,8.8,15.95,15.95,100,,56,3.13
Andreas Johnsson,W,TOR,vs OTT,2,1,4.13,73.5%,5100,46.9,8.3,11.43,11.43,100,,40,2.24
Oscar Klefbom,D,EDM,vs VAN,2,1,2.97,57.4%,5000,44.2,10.0,11.75,11.75,100,,62,2.35
Bobby Ryan,W,OTT,@ TOR,2,1,2.37,26.5%,4900,48.8,9.9,6.60,6.60,100,,59,1.35
Tanner Pearson,W,VAN,@ EDM,2,2,2.53,42.6%,4800,41.6,8.1,7.49,7.49,100,,51,1.56
James Neal,W,EDM,vs VAN,1,2,2.97,57.4%,4800,45.6,10.2,4.19,4.19,100,,55,0.87
Colton Parayko,D,STL,vs WSH,2,,3.02,59%,4800,36.0,9.8,10.02,10.02,100,,64,2.09
Tom Wilson,W,WSH,@ STL,1,2,2.48,41%,4700,50.0,6.4,9.28,9.28,100,,40,1.97
Darnell Nurse,D,EDM,vs VAN,1,2,2.97,57.4%,4700,36.0,8.7,11.70,11.70,100,,61,2.49
Colin White,C,OTT,@ TOR,1,1,2.37,26.5%,4700,38.4,7.2,6.28,6.28,100,,44,1.34
Joe Thornton,C,SJ,@ VGK,3,2,2.81,37.7%,4600,45.3,9.5,8.22,8.22,100,,57,1.79
Micheal Ferland,W,VAN,@ EDM,1,2,2.53,42.6%,4600,31.2,6.9,3.84,3.84,100,,47,0.83
Alex Tuch,W,VGK,vs SJ,,,3.69,62.3%,4600,0.00,9.8,0.00,0.00,100,,56,0.00
Nate Schmidt,D,VGK,vs SJ,1,2,3.69,62.3%,4500,40.5,6.9,12.81,12.81,100,,51,2.85
Tomas Jurco,W,EDM,vs VAN,,2,2.97,57.4%,4500,37.8,4.1,0.00,0.00,100,,30,0
Kasperi Kapanen,W,TOR,vs OTT,1,2,4.13,73.5%,4500,32.4,6.7,8.20,8.20,100,,42,1.82
Tyler Myers,D,VAN,@ EDM,1,2,2.53,42.6%,4400,34.0,8.5,7.45,7.45,100,,60,1.69
Artem Anisimov,C,OTT,@ TOR,3,,2.37,26.5%,4400,45.3,8.9,8.59,8.59,100,,54,1.95
Zach Hyman,W,TOR,vs OTT,,,4.13,73.5%,4400,0.00,8.0,0.00,0.00,100,,54,0.00
Jakub Vrana,W,WSH,@ STL,2,2,2.48,41%,4400,38.9,7.3,6.67,6.67,100,,48,1.52
Loui Eriksson,W,VAN,@ EDM,4,,2.53,42.6%,4300,44.5,8.1,4.04,4.04,100,,49,0.94
Tyler Bozak,C,STL,vs WSH,3,2,3.02,59%,4300,49.3,9.1,7.62,7.62,100,,53,1.77
Jake Muzzin,D,TOR,vs OTT,2,,4.13,73.5%,4200,48.5,9.9,11.77,11.77,100,,61,2.8
Dmitry Orlov,D,WSH,@ STL,2,2,2.48,41%,4200,41.6,7.2,6.85,6.85,100,,57,1.63
Vince Dunn,D,STL,vs WSH,3,1,3.02,59%,4200,45.0,7.1,6.33,6.33,100,,51,1.51
Connor Brown,W,OTT,@ TOR,1,,2.37,26.5%,4200,49.6,6.6,5.29,5.29,100,,43,1.26
Alexander Kerfoot,C,TOR,vs OTT,3,2,4.13,73.5%,4200,42.1,7.4,11.08,11.08,100,,43,2.64
Marc-Edouard Vlasic,D,SJ,@ VGK,2,2,2.81,37.7%,4100,45.3,9.2,8.82,8.82,100,,61,2.15
Lars Eller,C,WSH,@ STL,2,2,2.48,41%,4100,40.0,7.7,9.37,9.37,100,,51,2.29
Zack Kassian,W,EDM,vs VAN,2,,2.97,57.4%,4100,32.0,5.1,8.63,8.63,100,,38,2.1
Cody Ceci,D,TOR,vs OTT,1,,4.13,73.5%,4000,30.1,7.9,11.33,11.33,100,,64,2.83
Quinn Hughes,D,VAN,@ EDM,2,2,2.53,42.6%,4000,20.2,3.5,5.25,5.25,100,,13,1.31
Cody Eakin,C,VGK,vs SJ,,,3.69,62.3%,3900,0.00,7.3,0.00,0.00,100,,49,0.00
Brandon Pirri,W,VGK,vs SJ,3,2,3.69,62.3%,3900,41.8,7.4,4.35,4.35,100,,42,1.12
Josh Leivo,W,VAN,@ EDM,3,1,2.53,42.6%,3900,36.5,4.5,6.69,6.69,100,,23,1.72
Anthony Duclair,W,OTT,@ TOR,2,2,2.37,26.5%,3900,46.1,6.4,8.39,8.39,100,,38,2.15
Dylan DeMelo,D,OTT,@ TOR,3,,2.37,26.5%,3900,35.7,5.5,6.45,6.45,100,,48,1.65
Troy Stecher,D,VAN,@ EDM,3,,2.53,42.6%,3900,27.7,6.2,6.92,6.92,100,,55,1.77
Michal Kempny,D,WSH,@ STL,,,2.48,41%,3900,0.00,5.7,0.00,0.00,100,,50,0.00
Chris Tierney,C,OTT,@ TOR,2,,2.37,26.5%,3800,35.7,6.6,6.37,6.37,100,,47,1.68
Sam Gagner,W,EDM,vs VAN,,,2.97,57.4%,3800,0.00,8.3,0.00,0.00,100,,51,0.00
Sven Baertschi,W,VAN,@ EDM,,,2.53,42.6%,3800,0.00,7.5,0.00,0.00,100,,42,0.00
Robert Thomas,W,STL,vs WSH,3,1,3.02,59%,3800,30.9,5.5,4.09,4.09,100,,36,1.08
Alex Chiasson,W,EDM,vs VAN,3,1,2.97,57.4%,3700,34.0,5.3,8.52,8.52,100,,38,2.3
Brayden McNabb,D,VGK,vs SJ,1,,3.69,62.3%,3700,28.0,5.8,8.24,8.24,100,,56,2.23
Brenden Dillon,D,SJ,@ VGK,1,,2.81,37.7%,3700,26.4,5.1,3.98,3.98,100,,57,1.08
Jay Bouwmeester,D,STL,vs WSH,2,,3.02,59%,3700,33.6,5.7,6.88,6.88,100,,56,1.86
Richard Panik,W,WSH,@ STL,3,1,2.48,41%,3700,44.2,7.2,6.39,6.39,100,,45,1.73
Oskar Sundqvist,C,STL,vs WSH,4,,3.02,59%,3700,28.8,4.3,6.40,6.40,100,,31,1.73
Rudolfs Balcers,W,OTT,@ TOR,,,2.37,26.5%,3700,0.00,5.7,0.00,0.00,100,,45,0.00
Adam Larsson,D,EDM,vs VAN,1,,2.97,57.4%,3600,38.4,7.1,7.69,7.69,100,,58,2.14
